van_precinct_id,fo_id,region_id
972325,9,1
972365,9,1
972363,9,1
972367,9,1
972321,9,1
972366,9,1
972323,9,1
972320,9,1
972324,9,1
972364,9,1
972258,69,1
972255,69,1
972256,69,1
972228,29,1
972457,29,1
972197,29,1
972370,1,1
972368,1,1
972369,1,1
972371,1,1
972257,27,1
972356,27,1
972373,28,1
972322,28,1
972372,28,1
972374,28,1
972398,33,2
972397,33,2
972396,33,2
972319,31,2
972404,31,2
972377,31,2
972202,31,2
972218,31,2
972302,31,2
972381,71,2
972380,71,2
972384,71,2
972379,71,2
972394,26,2
972395,26,2
972392,26,2
972390,32,2
972393,32,2
972391,32,2
972327,18,2
972354,18,2
972192,18,2
972329,11,3
972438,11,3
972308,11,3
972310,11,3
972282,11,3
972460,11,3
972204,11,3
972399,11,3
972422,11,3
972261,11,3
972300,11,3
972331,3,3
972334,3,3
972333,3,3
972335,3,3
972375,3,3
972476,3,3
972446,3,3
972478,3,3
972292,3,3
972332,3,3
972293,68,3
972283,68,3
972400,68,3
972482,68,3
972495,68,3
972360,68,3
972388,68,3
972294,68,3
972254,68,3
972502,68,3
972480,35,3
972317,35,3
972437,35,3
972485,35,3
972229,35,3
972503,35,3
972499,34,3
972489,34,3
972194,34,3
972505,34,3
972490,34,3
972471,34,3
972190,34,3
972376,34,3
972316,34,3
972242,37,4
972326,37,4
972244,37,4
972243,37,4
972245,37,4
972246,37,4
972241,37,4
972240,37,4
972237,12,4
972406,12,4
972238,12,4
972491,12,4
972314,12,4
972479,12,4
972239,12,4
972213,12,4
972212,20,4
972278,20,4
972269,20,4
972189,20,4
972230,20,4
972421,20,4
972287,38,4
972193,38,4
972285,38,4
972496,38,4
972405,38,4
972286,38,4
972501,38,4
972315,38,4
972251,38,4
972455,38,4
972426,4,4
972357,4,4
972413,4,4
972211,4,4
972223,4,4
972507,39,5
972492,39,5
972297,39,5
972186,39,5
972313,39,5
972468,39,5
972418,39,5
972497,39,5
972487,39,5
972215,39,5
972483,39,5
972260,39,5
972188,39,5
972296,39,5
972417,39,5
972494,39,5
972275,39,5
972249,39,5
972477,39,5
972351,39,5
972493,39,5
972352,39,5
972303,39,5
972423,39,5
972346,39,5
972216,39,5
972276,74,5
972348,74,5
972427,74,5
972347,74,5
972349,74,5
972298,74,5
972309,72,5
972221,72,5
972359,72,5
972248,62,5
972233,62,5
972231,62,5
972226,62,5
972232,62,5
972410,62,5
972318,75,5
972429,75,5
972220,75,5
972447,75,5
972195,75,5
972210,66,5
972358,66,5
972345,66,5
972387,66,5
972205,66,5
972312,66,5
972201,66,5
972272,66,5
972353,66,5
972355,66,5
972284,66,5
972475,66,5
972191,44,6
972290,44,6
972291,44,6
972203,44,6
972198,44,6
972227,14,6
972187,14,6
972311,14,6
972304,14,6
972362,14,6
972328,14,6
972200,14,6
972273,14,6
972247,14,6
972486,43,6
972274,43,6
972458,43,6
972481,43,6
972488,43,6
972389,43,6
972506,43,6
972217,43,6
972288,43,6
972419,43,6
972234,42,6
972498,42,6
972470,42,6
972500,42,6
972259,42,6
972330,42,6
972299,42,6
972414,42,6
972424,42,6
972268,42,6
972385,42,6
972219,42,6
972469,42,6
972473,42,6
972236,42,6
972425,42,6
972279,42,6
972344,42,6
972295,6,6
972435,6,6
972224,6,6
972207,6,6
972208,6,6
972206,6,6
972209,6,6
972250,6,6
972383,6,6
972235,6,6
972461,6,6
972342,70,6
972225,70,6
972338,70,6
972403,70,6
972341,70,6
972378,70,6
972484,70,6
972339,70,6
972343,70,6
972456,70,6
972340,70,6
972264,7,7
972267,7,7
972445,7,7
972262,7,7
972263,7,7
972266,7,7
972265,7,7
972386,55,7
972281,55,7
972472,55,7
972402,55,7
972415,55,7
972253,55,7
972382,55,7
972361,45,7
972199,45,7
972416,45,7
972350,45,7
972270,73,7
972462,65,7
972466,65,7
972443,65,7
972444,65,7
972463,65,7
972440,65,7
972439,65,7
972465,65,7
972441,65,7
972442,65,7
972464,65,7
972474,8,8
972407,8,8
972409,8,8
972301,8,8
972412,49,8
972307,49,8
972448,49,8
972306,49,8
972459,49,8
972467,49,8
972336,49,8
972450,25,8
972420,25,8
972449,25,8
972504,25,8
972451,25,8
972454,25,8
972452,25,8
972408,47,8
972401,47,8
972433,47,8
972431,47,8
972430,47,8
972434,47,8
972432,47,8
972277,48,8
972222,48,8
972280,48,8
972436,48,8
972289,48,8
972214,48,8
972196,67,8
972428,67,8
972305,67,8
972252,67,8
972271,67,8
972337,67,8
972411,67,8
